age,household_id,school_id,work_id,primary_community,secundary_community
21,184522,0,324,114,114
50,156837,0,16043,448,56
43,190730,0,6934,573,573
71,130995,0,0,311,152
41,59248,0,9631,246,246
7,32,1754,0,56,182
39,175641,0,1994,216,501
46,134854,0,2356,353,511
87,28576,0,0,249,304
17,171725,1833,0,68,47
34,13019,0,2565,384,370
68,28247,0,0,298,298
15,177203,1867,0,342,342
16,135985,1837,0,307,208
8,167621,1587,0,487,483
4,56679,1237,0,105,560
59,180250,0,0,125,125
1,92187,249,0,195,220
32,7013,0,15413,577,84
15,104991,1800,0,439,194
56,169752,0,0,14,36
50,79407,0,2489,597,161
47,90275,0,0,100,2
4,110852,1142,0,389,140
29,57823,0,2215,208,307
28,43777,0,2399,226,192
61,52394,0,0,152,267
55,110830,0,0,335,386
41,145461,0,6763,21,424
29,116776,0,5289,167,502
56,186526,0,7949,458,414
76,12153,0,0,200,88
57,103503,0,0,474,191
20,142469,0,12714,118,79
34,92555,0,13978,481,188
38,91630,0,7227,228,600
58,82369,0,4436,41,193
15,130554,1821,0,84,84
68,77031,0,0,584,574
40,172031,0,5444,38,56
15,58320,1833,0,233,233
56,76081,0,0,235,425
17,45450,1790,0,445,587
18,110679,2180,0,336,66
43,91955,0,6389,483,373
6,107091,1659,0,50,50
37,8572,0,12265,165,98
19,82434,2293,0,249,196
23,98903,2435,0,242,398
42,58316,0,0,13,13
22,126273,1942,0,90,483
23,26221,0,14420,266,32
58,183296,0,0,149,339
31,127485,0,0,539,539
67,18431,0,0,172,339
42,119100,0,9149,382,49
1,97463,0,0,556,154
0,138262,31,0,186,287
26,45022,0,2435,413,291
37,52104,0,12891,166,445
69,31958,0,0,599,277
55,79923,0,12164,10,123
43,131733,0,13745,157,386
66,100977,0,0,16,35
5,135185,1286,0,504,60
17,135678,1908,0,308,308
10,74490,1531,0,406,445
31,113543,0,16090,311,311
50,63929,0,2913,196,568
40,56910,0,0,220,195
32,104291,0,8874,117,533
40,98526,0,1192,523,272
63,106305,0,0,557,302
47,29374,0,3668,6,360
6,62068,1622,0,269,269
15,30646,1812,0,597,16
13,174597,1796,0,542,268
16,170983,1865,0,409,387
22,86128,2249,0,88,472
25,11246,0,14089,447,317
39,14071,0,6294,73,408
34,8687,0,4527,8,347
32,105267,0,0,7,520
15,16482,1812,0,323,137
21,133041,2012,0,483,373
22,73092,0,0,488,90
64,94091,0,5860,375,234
67,43280,0,0,547,11
2,157828,1132,0,155,148
35,5470,0,15278,330,295
94,28187,0,0,223,141
19,172767,2298,0,50,201
61,61577,0,0,452,379
19,144165,0,0,425,398
47,165937,0,3587,481,63
49,152879,0,5870,376,500
22,2714,0,506,238,557
62,25565,0,0,97,215
50,76918,0,12073,416,138
47,66240,0,11920,207,103
44,137878,0,0,573,532
9,79057,1515,0,493,470
21,65660,2186,0,351,15
35,157661,0,15569,387,409
2,78045,0,0,461,372
19,94700,0,275,123,123
52,184981,0,0,441,251
4,123143,1161,0,421,82
7,109900,1426,0,483,64
23,186262,2012,0,223,223
8,77365,1622,0,535,528
79,27063,0,0,8,598
11,134478,1455,0,38,38
17,70520,1865,0,502,369
51,123663,0,3912,276,545
36,29772,0,15145,430,90
82,159900,0,0,1,111
0,12848,0,0,227,227
60,83891,0,3322,295,295
6,32884,0,0,457,117
60,57854,0,0,596,50
36,113505,0,925,228,250
15,88183,1792,0,65,584
29,172637,0,14269,533,410
38,188483,0,7618,472,118
14,186469,1801,0,472,475
35,183071,0,15749,210,115
0,79055,0,0,364,276
42,867,0,0,300,63
54,33765,0,0,588,303
3,108028,1362,0,557,480
60,123931,0,15240,324,277
29,54363,0,4372,347,303
16,141414,1821,0,516,504
44,161821,0,12577,123,123
61,21254,0,0,239,458
15,163297,1794,0,338,40
5,48997,1284,0,561,308
61,158264,0,0,471,527
0,123422,864,0,557,517
25,159990,0,3412,451,451
46,110792,0,4126,285,190
13,175784,1858,0,190,313
5,12751,1136,0,546,546
52,129511,0,331,272,105
1,169009,142,0,408,178
33,111026,0,14331,307,307
61,26050,0,0,415,126
1,79920,0,0,63,447
27,21189,0,6823,593,593
34,32467,0,6654,71,520
16,110643,1794,0,157,220
38,26037,0,3268,491,227
4,159474,1165,0,116,527
34,2679,0,15539,449,149
53,173111,0,4703,258,258
74,33364,0,0,434,346
32,171249,0,1164,269,536
1,165491,0,0,207,544
44,13900,0,0,35,153
26,167797,0,13307,578,244
43,8768,0,15100,310,118
61,84825,0,0,472,290
70,153909,0,0,295,219
18,3032,2222,0,6,126
2,33428,0,0,499,499
45,158549,0,14586,399,501
66,100589,0,0,429,253
35,175931,0,0,573,573
1,70608,751,0,227,542
59,147910,0,10025,301,373
45,58594,0,12349,542,553
41,41830,0,8042,596,596
9,97267,1418,0,493,407
5,92128,1150,0,12,586
26,110912,0,12577,453,93
37,73243,0,11135,288,197
3,32984,1382,0,472,291
60,164690,0,22,522,293
33,19396,0,9520,374,115
43,146449,0,14405,427,367
0,67253,665,0,524,524
14,28982,1801,0,248,357
83,76208,0,0,331,381
69,57126,0,0,513,513
57,142544,0,12312,470,470
51,8220,0,0,480,319
64,66466,0,0,599,80
4,47592,1367,0,498,307
10,133284,0,0,413,200
9,38450,1638,0,554,535
53,16522,0,12645,553,227
36,95427,0,4422,520,312
84,6804,0,0,111,1
27,130082,0,0,288,321
22,129853,2129,0,67,41
55,191800,0,0,561,147
52,137940,0,2122,567,181
52,91450,0,0,401,455
73,159916,0,0,113,113
45,168744,0,10991,197,271
54,147854,0,5302,220,542
37,172184,0,12891,586,586
34,10335,0,4730,74,257
39,21851,0,13667,399,412
2,130772,0,0,589,292
26,56210,0,10439,256,22
38,377,0,5795,82,218
20,138760,1922,0,201,201
2,97289,0,0,562,212
50,130596,0,12365,103,396
41,33987,0,12439,441,560
22,30070,0,6780,557,115
53,98083,0,16515,278,51
21,185979,2354,0,533,533
26,32018,0,9211,525,294
19,172226,0,0,249,304
45,129496,0,0,79,413
9,34544,1670,0,124,16
63,67892,0,0,33,203
48,191506,0,4425,471,527
73,187291,0,0,205,458
54,115892,0,12904,198,174
30,148869,0,9520,562,540
28,2049,0,0,242,460
42,163147,0,11164,378,378
56,12441,0,9829,568,461
8,77826,1413,0,370,562
52,131017,0,15077,249,397
70,160713,0,0,16,572
74,1744,0,0,338,338
22,148865,0,10056,534,420
15,133245,1908,0,549,417
2,11428,674,0,391,391
60,153075,0,0,89,227
2,54666,0,0,251,77
26,151125,0,0,381,338
11,47803,1402,0,480,519
40,128831,0,550,187,187
77,86075,0,0,147,427
2,18390,0,0,560,105
37,56286,0,0,462,100
64,57004,0,0,409,387
8,73752,0,0,380,236
54,103096,0,9476,291,373
43,97591,0,8253,471,132
72,64281,0,0,212,393
2,93278,0,0,325,356
37,142670,0,3149,125,125
31,93222,0,13040,549,549
0,173730,0,0,337,236
41,182639,0,834,567,567
37,67661,0,0,305,198
50,51506,0,6980,396,396
15,169334,1891,0,450,364
33,23595,0,0,591,591
48,74522,0,11215,292,132
76,85521,0,0,185,266
35,125129,0,0,370,393
27,176996,0,13116,533,117
53,88426,0,9231,256,256
43,40215,0,14695,113,469
8,44272,1714,0,500,501
16,24534,1786,0,35,411
14,114275,1828,0,526,419
2,28614,766,0,200,475
43,121367,0,7403,35,280
59,29674,0,0,519,59
44,51443,0,5548,385,18
57,86425,0,0,536,20
1,99237,138,0,550,42
65,16701,0,0,514,438
12,116127,1834,0,146,115
19,131501,0,0,200,272
35,174497,0,5479,208,179
38,86064,0,6613,218,218
12,133965,1799,0,453,365
6,132025,1638,0,471,527
73,185136,0,0,63,447
81,185830,0,0,374,277
56,84145,0,15289,487,175
28,39360,0,5933,543,148
16,136648,1801,0,88,107
38,11297,0,11790,305,394
46,36364,0,11404,98,590
42,93961,0,0,215,371
48,160838,0,8999,429,129
3,155638,1245,0,501,480
71,159279,0,0,399,80
39,150136,0,2257,7,520
63,122994,0,0,402,231
55,12556,0,0,251,572
7,163697,1492,0,256,256
14,73553,1848,0,215,108
19,89376,2146,0,63,188
28,88558,0,13168,386,285
41,148011,0,12057,483,352
72,169059,0,0,78,15
17,103443,1843,0,421,381
61,183027,0,1683,508,84
13,186937,1865,0,471,471
3,140966,1328,0,251,138
52,103825,0,1265,384,113
53,189074,0,3961,481,300
47,18678,0,179,390,167
40,175265,0,12500,287,329
13,36842,1866,0,186,296
17,147218,1830,0,418,375
3,104763,1299,0,465,465
31,4159,0,0,129,253
9,8946,1614,0,471,527
56,28143,0,16504,592,482
49,177388,0,0,234,355
63,131887,0,0,172,562
23,101752,0,0,504,504
39,52077,0,16515,469,384
35,153726,0,0,483,404
43,97663,0,0,547,547
47,22638,0,14943,317,447
44,39621,0,0,536,504
22,143743,2109,0,313,333
44,167969,0,3576,246,334
12,132524,1864,0,200,207
34,182288,0,0,377,181
85,41924,0,0,414,177
19,38324,2447,0,474,555
11,35529,1589,0,398,563
43,47355,0,0,261,260
71,62272,0,0,370,113
19,85951,1959,0,362,362
7,70393,1413,0,480,412
15,63054,1880,0,469,246
32,154437,0,0,168,183
29,16630,0,0,579,439
25,24595,0,904,569,569
18,56320,0,16481,133,457
16,36244,1787,0,256,256
50,180430,0,5703,427,224
45,118880,0,5286,311,152
2,63408,323,0,24,72
55,66136,0,2495,549,110
69,13886,0,0,515,84
6,76368,1468,0,394,281
52,109979,0,11804,185,264
57,182101,0,3875,161,279
28,131506,0,0,265,265
44,29914,0,2329,212,370
8,49240,1642,0,249,369
42,4022,0,365,411,77
1,51725,0,0,535,7
8,68030,1457,0,455,455
2,105388,0,0,531,419
22,42305,0,0,191,474
20,144072,2010,0,300,188
38,71385,0,7006,306,316
8,87213,1512,0,233,91
36,12029,0,2429,66,106
67,20664,0,0,438,340
4,150195,1150,0,11,355
42,18732,0,9371,527,47
29,15418,0,8579,563,460
32,74627,0,5891,280,416
31,67644,0,0,252,122
35,37425,0,13483,381,381
38,74180,0,15571,271,271
52,112810,0,15370,103,577
6,78823,1783,0,66,29
40,13606,0,14381,379,509
20,13087,2136,0,67,67
51,45333,0,0,9,171
11,8583,1512,0,583,547
18,19565,0,0,529,529
50,118506,0,0,193,440
29,69008,0,4190,135,534
26,11934,0,10697,148,148
44,59339,0,0,217,217
57,165642,0,3583,505,189
40,85068,0,6768,147,66
17,141995,1907,0,248,234
24,175688,2365,0,276,563
44,63773,0,0,481,300
13,22477,1830,0,363,219
19,10698,0,0,280,280
5,144140,1375,0,112,420
42,81296,0,7597,139,139
44,22639,0,368,19,19
46,138756,0,5002,221,221
45,112564,0,6418,524,331
12,55668,1899,0,40,199
15,165073,1833,0,493,407
20,21538,0,0,296,299
20,177751,2574,0,105,472
55,128327,0,0,387,409
12,126268,1831,0,8,8
36,103060,0,14231,553,542
30,159693,0,13410,270,475
0,175365,0,0,265,265
54,165685,0,10675,560,200
57,86017,0,11776,222,377
16,87704,1858,0,108,150
33,102992,0,12694,562,289
16,115845,1828,0,256,531
19,45223,2246,0,539,64
32,54699,0,13978,63,300
56,110548,0,0,370,424
24,184669,0,2945,28,449
17,89289,1813,0,437,307
39,35120,0,3600,296,380
52,49982,0,10834,582,440
2,111156,416,0,591,132
26,60698,0,5623,493,569
22,90843,2059,0,171,29
20,84044,2433,0,103,103
24,135944,2038,0,492,444
54,70881,0,923,315,315
11,178951,1537,0,281,340
20,178931,0,8820,84,19
35,134690,0,6731,315,571
37,142204,0,1403,549,89
49,191263,0,0,465,329
43,59510,0,14997,529,125
43,85015,0,517,97,371
43,97240,0,3,212,212
2,107295,1090,0,21,409
52,30081,0,9385,295,543
31,43132,0,3687,129,102
57,1883,0,0,195,45
52,72156,0,9766,412,164
47,33334,0,0,375,375
52,106106,0,7084,498,328
77,62847,0,0,376,210
26,123458,0,9768,120,293
35,111948,0,14958,180,139
52,52735,0,5655,185,185
66,26343,0,0,316,261
14,9040,1799,0,285,285
0,37667,0,0,116,116
40,127015,0,5044,331,421
20,36484,1964,0,350,258
5,44924,1149,0,396,396
16,38,1856,0,301,559
40,28686,0,11529,11,355
4,168828,1158,0,523,472
47,1426,0,13997,161,75
12,33971,1794,0,80,210
63,62923,0,14358,56,448
58,214,0,0,122,582
60,48105,0,10453,518,348
5,22387,1364,0,239,286
14,34086,1863,0,380,296
51,63278,0,13880,105,472
54,93244,0,15898,390,390
65,181897,0,0,531,526
46,170355,0,15859,279,251
60,34758,0,14098,358,457
1,167746,802,0,351,321
53,19801,0,8135,15,85
12,74944,1792,0,94,518
47,9615,0,1533,538,538
35,191300,0,3362,189,92
55,171535,0,0,200,413
22,105536,0,76,465,227
79,56519,0,0,561,66
13,156901,1866,0,329,593
63,152789,0,0,461,167
71,57883,0,0,264,264
56,137324,0,11529,543,155
50,95005,0,12897,515,406
27,167325,0,7405,190,343
5,13340,1362,0,327,511
12,52940,1891,0,508,317
2,181031,0,0,483,258
52,91147,0,16315,367,31
70,151330,0,0,598,598
18,98557,2053,0,323,323
30,80542,0,2913,397,556
12,14846,1838,0,339,449
67,91792,0,0,272,572
6,181844,1771,0,501,37
41,3398,0,0,407,470
36,34147,0,1288,276,460
42,14852,0,0,245,445
52,57982,0,14759,414,286
2,139098,0,0,188,300
34,78730,0,3891,207,472
21,179796,0,8042,551,324
44,129068,0,1504,275,17
61,92845,0,0,541,194
14,128901,1802,0,154,120
52,90932,0,0,325,529
59,105719,0,0,530,6
48,79387,0,833,293,568
26,1440,0,2329,349,594
63,118696,0,4104,173,125
47,67440,0,9768,293,568
84,169835,0,0,100,168
16,41685,1890,0,222,210
51,57269,0,7949,76,307
82,84929,0,0,204,277
15,157914,1796,0,338,524
53,117772,0,439,205,239
8,2322,1500,0,576,423
27,71664,0,15709,510,526
4,87822,1222,0,39,455
14,176840,1855,0,210,222
63,156253,0,0,109,109
19,112148,2374,0,170,80
55,65577,0,0,161,161
23,133973,0,9531,221,179
36,4366,0,0,198,340
18,62597,0,13852,269,20
10,22532,1607,0,11,355
70,97291,0,0,553,581
20,20549,2537,0,258,352
35,68650,0,13289,142,587
9,175051,1568,0,132,362
25,60851,0,9262,239,239
49,8883,0,14846,586,231
28,180914,0,11150,323,12
43,67851,0,6352,363,436
73,86260,0,0,201,569
45,836,0,13090,324,216
21,28989,1914,0,82,82
28,127033,0,0,562,387
20,71022,0,7166,534,420
6,132534,1621,0,139,193
37,40013,0,0,330,464
49,154757,0,11826,380,296
59,53971,0,575,468,238
39,73392,0,4757,47,132
48,46807,0,5627,301,90
13,108965,1877,0,6,169
37,134866,0,10534,64,430
16,162007,1789,0,69,253
20,132358,2283,0,440,193
74,148537,0,0,247,326
15,111613,1801,0,19,577
36,82246,0,6267,98,98
51,65578,0,0,445,148
20,34992,2106,0,351,271
52,167870,0,7019,502,390
2,134364,0,0,586,92
44,190598,0,0,365,254
8,83299,1473,0,199,40
18,38916,2565,0,299,380
51,33873,0,13420,197,313
46,107845,0,2147,526,255
43,28287,0,10554,164,302
34,17207,0,15833,228,228
20,159661,0,13871,560,105
17,148821,1830,0,577,396
50,29511,0,1805,315,259
5,123917,1142,0,350,262
19,190526,0,0,90,483
46,156989,0,4636,356,356
7,145722,1749,0,256,256
51,98546,0,14750,402,597
67,90897,0,0,23,23
6,59771,1512,0,531,531
52,126078,0,2767,178,518
1,180372,331,0,447,317
22,9709,2468,0,24,72
73,57565,0,0,412,503
8,88066,1550,0,224,442
52,174399,0,16203,266,264
44,17715,0,1195,592,64
18,173648,2182,0,282,282
25,16388,0,10519,308,422
18,31081,0,4885,475,472
55,64370,0,0,207,103
28,44741,0,0,15,15
40,10208,0,9115,228,228
48,81813,0,2125,300,481
52,159180,0,708,464,464
21,46798,2010,0,575,125
19,152401,2015,0,219,295
70,168661,0,0,580,580
42,133510,0,0,200,523
28,41916,0,0,398,276
34,163327,0,5147,353,127
9,29231,1609,0,315,237
1,56344,0,0,40,338
27,80905,0,0,122,440
48,7442,0,16050,595,580
0,31694,730,0,298,298
15,147111,1850,0,239,199
52,32958,0,14111,63,188
24,39079,2455,0,47,292
37,91465,0,11150,16,158
72,104319,0,0,472,118
62,121346,0,0,475,441
49,40698,0,13667,524,106
8,116317,1717,0,396,129
35,38334,0,12402,281,326
40,8983,0,2413,465,491
19,79654,2030,0,345,61
51,107152,0,2894,485,516
46,165971,0,13772,547,51
58,74129,0,0,537,423
8,182580,1569,0,578,373
55,43903,0,3992,528,520
33,49796,0,12733,573,40
39,157121,0,14707,535,516
4,74500,1215,0,176,15
22,163405,0,10191,509,229
50,118526,0,0,115,399
3,32902,1142,0,597,597
26,170670,0,3354,444,392
40,45905,0,16403,539,483
41,47710,0,12583,459,459
63,112254,0,0,274,199
1,26229,115,0,391,460
9,89069,1716,0,65,584
42,66748,0,15519,392,386
47,63980,0,2948,105,105
47,172432,0,15664,338,524
33,136496,0,9933,598,598
22,154555,2181,0,48,101
40,157654,0,6866,412,222
35,161489,0,0,543,148
68,80477,0,0,222,501
19,12286,2226,0,280,272
46,79647,0,13212,91,529
49,141637,0,5807,361,361
58,116230,0,0,162,23
40,138630,0,12854,509,585
49,63587,0,1419,83,237
60,65349,0,4052,208,307
7,65211,1754,0,56,455
17,160526,1871,0,135,420
24,111799,0,0,400,400
42,6349,0,0,475,291
27,136917,0,5746,436,143
26,72190,0,11929,498,76
19,29967,0,0,472,345
62,182123,0,132,89,553
7,71080,1497,0,247,394
27,182209,0,5147,561,567
17,75510,1803,0,452,157
10,16724,1710,0,200,107
50,80034,0,6866,234,51
41,23301,0,11793,195,45
24,109191,0,0,237,237
11,94006,1731,0,101,33
26,79430,0,783,315,571
47,124249,0,12663,248,355
44,66338,0,4669,356,570
18,47795,0,0,280,279
4,97268,1284,0,80,500
12,145500,1889,0,599,206
47,180116,0,9710,65,73
30,110321,0,7544,385,385
18,145198,0,14119,329,296
78,55221,0,0,377,204
45,136228,0,0,586,505
21,184693,0,12402,307,392
64,140004,0,2726,584,205
0,120028,215,0,263,443
13,61583,1881,0,599,412
18,61031,1940,0,273,430
22,165898,2111,0,150,128
37,155645,0,0,400,444
19,18460,0,15576,45,257
30,10425,0,4109,406,166
47,139693,0,1097,126,229
20,19214,0,11642,120,568
61,155913,0,0,223,400
10,131301,1555,0,566,526
49,153497,0,1123,475,61
29,42425,0,5394,431,7
44,158040,0,15866,43,49
30,91919,0,9502,173,529
17,11525,1837,0,121,296
10,184877,1600,0,108,150
62,174886,0,0,587,284
55,145416,0,2288,115,37
19,116589,2261,0,330,143
43,36648,0,0,152,311
9,119823,1570,0,322,98
84,23883,0,0,117,593
42,54185,0,15144,188,481
17,65681,1867,0,397,369
28,16275,0,15395,534,573
14,164290,1835,0,113,370
33,181363,0,8084,16,389
47,43483,0,9791,333,371
6,77414,1442,0,412,216
1,143659,594,0,534,534
53,25095,0,0,345,79
47,132639,0,0,28,562
12,145380,1805,0,292,47
11,79867,1736,0,50,50
8,90608,1569,0,474,191
60,53958,0,0,311,152
15,4210,1883,0,105,475
22,123235,2312,0,356,356
36,40118,0,8647,449,298
46,5697,0,1100,493,407
6,164804,1543,0,253,129
52,17136,0,11968,531,419
16,55213,1786,0,161,432
21,107497,0,1468,76,307
37,127301,0,0,145,115
24,25623,2493,0,585,87
20,156849,2019,0,407,493
85,18498,0,0,212,212
43,96128,0,3866,76,13
49,135035,0,6738,210,216
54,81292,0,0,242,364
63,36938,0,0,15,78
34,60364,0,1770,188,481
60,46208,0,14805,356,362
37,66288,0,3181,81,152
49,183227,0,2891,563,563
51,63888,0,11320,566,531
40,79129,0,0,404,350
40,70233,0,7963,331,422
75,166850,0,0,317,481
8,91150,1658,0,584,574
66,140972,0,0,396,103
24,116753,2014,0,73,199
33,9153,0,2708,551,418
39,111195,0,0,475,441
36,67210,0,9478,150,58
1,155780,1131,0,34,152
54,52443,0,3044,32,264
51,67062,0,5156,546,400
6,76153,1731,0,348,178
54,50643,0,12193,380,329
61,115078,0,0,276,449
38,70914,0,14670,248,248
24,36141,0,0,439,216
53,41246,0,4415,332,332
1,36100,386,0,553,144
47,162939,0,5921,38,182
7,7756,1549,0,31,147
8,56736,1774,0,126,263
15,3991,1792,0,414,177
51,15184,0,6946,294,328
33,45033,0,5768,520,485
71,64396,0,0,327,222
39,115112,0,8086,437,25
20,1522,0,0,330,214
32,26045,0,5494,291,345
71,133728,0,0,578,301
64,121814,0,5964,240,251
38,172222,0,5529,325,570
17,61699,1832,0,300,300
30,69350,0,14490,247,326
24,34089,0,11149,514,359
11,40956,1779,0,129,544
52,1518,0,9801,435,488
44,32830,0,4970,198,326
8,113527,1657,0,188,63
39,103691,0,3891,280,251
9,117865,1627,0,199,101
23,84020,0,15955,415,6
3,157623,1385,0,88,79
60,20595,0,0,74,220
6,148063,1469,0,229,581
31,168392,0,16129,562,424
7,135077,1699,0,413,475
17,83805,1829,0,462,54
62,78499,0,0,234,234
36,183919,0,8411,287,14
39,32946,0,10704,123,361
47,149876,0,0,126,507
23,1547,2376,0,328,498
62,117366,0,0,42,238
32,176245,0,0,19,317
13,74904,1792,0,138,35
72,184214,0,0,404,404
80,79804,0,0,597,16
24,160124,2501,0,477,18
73,26324,0,0,182,384
51,78611,0,13171,222,146
49,99287,0,9791,311,152
2,35629,0,0,300,481
22,119607,1982,0,264,264
12,129522,1879,0,532,534
20,77897,0,6223,475,88
66,72056,0,0,104,182
10,54484,1672,0,42,164
25,145750,0,3401,499,522
20,141958,0,12762,251,131
72,87624,0,0,468,480
72,141657,0,0,462,25
51,144533,0,8416,575,473
57,78697,0,6190,144,23
36,186457,0,0,167,196
10,64359,1483,0,595,154
23,147579,0,9758,6,6
31,176956,0,0,286,286
19,168873,2132,0,286,458
40,62447,0,7403,117,410
81,144535,0,0,365,453
44,105082,0,13779,305,394
38,111274,0,15924,342,342
17,27005,1843,0,135,573
42,27864,0,7880,197,197
21,47143,0,0,526,255
56,107681,0,0,77,131
41,82207,0,12691,291,207
60,183541,0,766,29,106
62,119104,0,0,347,347
48,33550,0,4537,370,469
61,159221,0,4107,69,253
20,45120,2323,0,495,495
13,72182,1872,0,482,64
35,81210,0,10245,504,20
14,11808,1797,0,43,43
22,113799,2390,0,504,349
76,183065,0,0,128,333
25,159977,0,0,495,10
45,19629,0,0,508,508
20,70851,2487,0,435,396
1,28291,171,0,86,86
52,70789,0,3347,336,336
6,183410,1412,0,532,332
27,78241,0,15395,492,444
56,75034,0,0,201,201
58,85777,0,0,366,37
12,768,1859,0,207,207
17,41814,1890,0,188,188
38,46338,0,15240,419,531
40,75406,0,7288,460,449
10,75772,1723,0,348,400
6,2543,1473,0,40,338
29,166840,0,4116,337,121
39,16666,0,1775,113,469
16,139569,1860,0,472,413
20,10437,2543,0,374,181
5,55758,1141,0,290,290
82,176961,0,0,292,292
47,155626,0,15915,496,427
8,129565,1598,0,25,437
52,72611,0,13898,245,142
49,184574,0,7371,255,526
15,10423,1794,0,322,323
20,171645,0,6424,244,301
22,41718,2512,0,398,450
10,4874,1750,0,582,41
90,140865,0,0,532,532
11,34455,1731,0,178,348
47,55044,0,1777,423,423
52,89724,0,7110,285,285
22,98397,0,0,207,428
39,84434,0,10458,135,420
52,33313,0,11797,396,429
43,159069,0,12817,292,132
14,169644,1892,0,69,290
20,46085,2063,0,18,18
23,138380,2333,0,367,31
33,160295,0,2639,483,273
13,67305,1865,0,471,387
15,100583,1865,0,455,139
37,37394,0,5381,92,383
37,88994,0,13410,578,301
13,133588,1866,0,296,296
41,30163,0,8435,449,494
60,107513,0,15738,526,255
55,121474,0,0,278,375
44,111592,0,9902,280,484
30,88826,0,7443,478,359
11,188496,1777,0,475,472
17,86542,1818,0,572,484
17,66989,1843,0,204,399
7,175807,1627,0,454,413
38,190220,0,6770,453,160
2,189435,0,0,491,417
27,27119,0,3996,396,103
25,15327,0,0,10,314
10,43740,1497,0,328,498
14,75799,1841,0,455,384
37,61956,0,0,438,392
36,59761,0,9356,306,442
28,45687,0,0,167,461
83,16390,0,0,258,258
43,154550,0,0,597,161
7,142577,1413,0,238,42
4,163590,1133,0,219,219
36,111374,0,14515,324,596
49,97942,0,13134,103,577
67,141714,0,0,6,6
34,116608,0,5016,266,266
52,81597,0,14480,324,145
41,28610,0,0,237,237
2,165463,766,0,454,559
47,72589,0,8171,158,402
44,70791,0,0,207,207
45,97833,0,1302,408,574
14,101485,1791,0,219,436
17,55595,1868,0,18,477
21,34212,2199,0,345,472
11,181056,1436,0,584,65
7,167319,1731,0,65,458
10,114650,1426,0,102,207
41,38676,0,9028,208,174
4,191207,1185,0,125,125
46,184657,0,13620,69,253
56,89193,0,11043,320,299
18,20486,2566,0,391,242
57,184451,0,0,300,188
1,148283,89,0,2,479
31,42181,0,13806,18,364
68,167676,0,0,398,391
4,96459,1217,0,204,206
46,36496,0,1943,190,190
30,106519,0,6201,202,202
52,38358,0,1839,454,597
47,22343,0,5584,404,350
60,53859,0,0,491,57
61,128582,0,0,436,330
23,126834,0,16436,481,481
13,138863,1785,0,53,555
9,1574,1463,0,445,587
18,69121,0,0,9,147
36,140747,0,3018,138,432
70,77952,0,0,125,575
0,155703,708,0,88,207
48,142465,0,0,429,129
45,148436,0,9839,42,480
14,73910,1808,0,34,152
18,171302,1959,0,292,68
34,94172,0,15033,375,547
0,137150,1036,0,209,550
86,108089,0,0,387,562
45,172908,0,8781,34,24
33,155254,0,0,360,87
57,120007,0,0,290,200
25,14909,0,6199,174,307
28,64108,0,4216,506,103
84,166024,0,0,472,413
73,110364,0,0,457,410
45,81912,0,15184,362,292
25,62082,0,9366,593,299
63,20323,0,6554,528,485
44,177896,0,0,50,50
47,31472,0,9883,288,288
26,120367,0,2894,536,269
8,28792,1607,0,519,489
